0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0
1,egypt,"Путёвки в Египет",NULL,"В последнее время из-за внутренних проблем в Египте, поток туристов туда не то чтобы совсем иссяк, но сильно обмелел. Туризм для Египта — одна из основных статей дохода, и власти теперь стараются, чтобы курорты страны снова заполнились разноязыкими отдыхающими, а к пирамидам потянулись вереницы автобусов","<h2>Египет</h2><p>В последнее время из-за внутренних проблем в Египте, поток туристов туда не то чтобы совсем иссяк, но сильно обмелел. Туризм для Египта&nbsp;—&nbsp;одна из основных статей дохода, и власти теперь стараются, чтобы курорты страны снова заполнились разноязыкими отдыхающими, а к пирамидам потянулись вереницы автобусов. Но все проходит, и бунты и революции, и поэтому путевки в Египет остаются востребованными среди наших сограждан. Немного официальных данных. На северо-востоке у Египта граница с Сектором Газа и Израилем, на западе&nbsp;—&nbsp;с Ливией, а на юге&nbsp;—&nbsp;с Суданом. Средиземное и Красное моря, соединенные Суэцким каналом, омывают страну. Площадь Египта&nbsp;—&nbsp;1 001 450 км², население&nbsp;—&nbsp;80,72 миллиона человек, большая часть исповедует ислам.</p><p><br></p><h3>Зачем ехать в Египет</h3><p>Горящие путевки в эту страну, сначала откроют перед путешественником Каир: динамичный, захватывающий, экзотический и радушный город. Никогда не знаешь, какой прекрасный и полузабытый памятник можно обнаружить во время прогулки по нему. А «жемчужина Средиземноморья», Александрия, очарует сочетанием истории и современности, своей средиземноморской атмосферой, старыми европейскими домами, соседствующими с римскими памятниками. Купить путевку в Египет&nbsp;—&nbsp;и окунуться в теплые воды Шарм-эль Шейха, загорать, нырять и любоваться на коралловые рифы и наслаждаться видом на море. Ведь Красное море&nbsp;—&nbsp;это настоящая жемчужина, которой владеет Египет. Шарм-эль-Шейх, путевки в это место предлагают парусный спорт, виндсерфинг и кайтсерфинг, полеты на парашюте с вертолета. На Красном море есть еще один курорт, которым гордится Египет. Хургада путевки, позволят туристам оказаться на Ривьере Красного моря, как часто называют Хургаду. В ней расположены набережные и рестораны, роскошные курорты и пятизвездочные отели. Район Эль-Дахар&nbsp;—&nbsp;старинный очаровательный городок с базарами, а Эль-Мешма&nbsp;—&nbsp;современная часть Хургады.</p><p><br></p><h3>Когда ехать в Египет</h3><p>В Египте пустынный и тропический климат, из-за близости пустыни Сахара летом жарко, столбик термометра поднимается до +50°С. Ночью прохладно, перепады температур велики. Зимой, в январе, температура днем +20-25°С. А вот ночи холодные, в среднем температура составляет +10 °C, в пустыне бывают заморозки. Температура воды в декабре-феврале, в курортный сезон&nbsp;—&nbsp;+22-23°С.</p><p><br></p><h3>Что посмотреть в Египте?</h3><p>Луксор в настоящее время стал величайшим музеем мира под открытым небом. Гробницы Тутанхамона в Долине Царей и закаты над храмами в Карнаке заставят затаить дыхание любого, также как и Храмы Абу-Симбела с фантастической игрой света и тени. Асуан встретит путешественника храмом Филы, Мавзолеем Ага Хана, монастырем Святого Симеона. Великий Нил неспешно течет среди гранитных скал и островов с пальмовыми рощами. Немногие доезжают до Эль-Аламейна, а ведь в нем произошло главное сражение Второй мировой войны между союзниками и гитлеровскими войсками. В память об этой войне были построены мемориал и музей. И Эль-Аламейн сам Черчилль назвал местом с лучшим климатом в мире!</p><p><br></p><h3>Кухня Египта</h3><p>В том, что касается гастрономии, у египтян есть девиз&nbsp;—&nbsp;щедрость. Они любят овощи, зелень, баранину и курицу. Среди известных блюд&nbsp;—&nbsp;фаршированные голуби, «дауд баша» (котлеты с петрушкой и луком, в густом томатном соусе на подушке из риса и увенчанные кедровыми орехами). Уличная еда&nbsp;—&nbsp;фалафель, закуска «кошари», с рисом, чечевицей, жареным луком и макаронами, под острым томатным соусом, популярен и хлеб «эш-балади». Не пренебрегают египтяне и рыбой&nbsp;—&nbsp;Красное море богато на морских обитателей, которые попадают потом в тарелки туристам в жареном или запеченном виде.</p><p><br></p><h3>Развлечения</h3><p>Сколько стоит путевка в Египет, зависит от того, как туристы собираются и развлекаться. В почете активный отдых&nbsp;—&nbsp;прогулки верхом на лошадях и катание на верблюдах, игра в гольф, полеты на парапланах, ралли по пустыне на джипах и квадроциклах, дайвинг, серфинг. Туристов ждут экскурсии и прогулки по восточным базарам. Но Египет&nbsp;—&nbsp;все-таки мусульманская страна, и развлекаться по-европейски здесь не принято. Центры развлечений находятся только в крупных городах, а в прибрежной зоне&nbsp;—&nbsp;при отелях, которые строят для своих постояльцев дискотеки и ночные клубы на пляжах.</p>",NULL,NULL,0,1,1
2,thailand,"Путёвки в Таиланд",NULL,"В Юго-Восточной Азии есть страна Таиланд, которая стала для многих россиян вторым домом. Пусть Таиланд и не станет домом для большинства из нас, но он стоит того, чтобы купить путевки в Таиланд и отправиться посмотреть на это действительно волшебное место","<h2>Таиланд</h2><p>В Юго-Восточной Азии есть страна Таиланд, которая стала для многих россиян вторым домом. Пусть Таиланд и не станет домом для большинства из нас, но он стоит того, чтобы купить путевки в Таиланд и отправиться посмотреть на это действительно волшебное место. Ранее известный как «Сиам», Таиланд на севере граничит с Лаосом и Мьянмой (бывшая Бирма), на востоке с Камбоджей, на юге с Малайзией. Его берега с востока омывает Сиамский залив, а западное – Андаманское море. Это государство, стоящее на перекрестке языков и культур, приняло китайцев, малайцев, кхмеров, индийцев, выходцев из Тибета - всего 60 миллионов человек. 95% населения страны исповедует буддизм.</p><p><br></p><h3>Зачем ехать в Тайланд</h3><p>Горящие путевки в Таиланд – это посещение его столицы Бангкока, курорта Паттайи и островов Самуи или Пхукет. Но туристам будет интересно узнать и о таком городе, как Аюттайя - бывшей столице Сиама и о городе Чианг Май на реке Пинг, известном под именем «Роза Севера». Помимо потрясающей природной красоты и уникальной культурной идентичности Чианг Май знаменит изделиями из серебра, дерева и керамики. Купить путевку в Таиланд и не посмотреть на его столицу Бангкок, будет большим упущением. Поездка в этот город – настоящее открытие культурного, духовного, коммерческого, дипломатического и образовательного центра Таиланда.&nbsp;<strong>Путевки в Таиланд</strong>, стоимость которых будет невелика, если поехать в Хуа Хин, с его портом и пляжами, где на зеленых холмах стоят буддийские храмы. Нельзя пропустить и город Канчанабури с мостом через реку Квай, который увековечен в фильмах и книгах, с его лабиринтами гор, рек и плотин. Сколько стоит путевка в Таиланд? Она обойдется недорого при отдыхе на острове Пхукет, который благодаря своей природе и гостеприимству жителей стал одним из главных курортов в мире. Путевки в Таиланд Пхукет дадут возможность увидеть песчаные пляжи острова с кокосовыми пальмами, тихие бухты и прозрачные воды Андаманского моря. Путевки в Таиланд Паттайя откроют тропическую расслабленную атмосферу этого места, все очарование и волшебство жизни, бурлящей в ресторанах, ночных клубах и барах.</p><p><br></p><h3>Когда ехать в Таиланд</h3><p>В Таиланде климат тропический с тремя сезонами. Это - летний сезон (март - май). Промежуточный сезон, характеризующийся частыми тропическими дождями (июнь-сентябрь) и прохладное время года (октябрь - февраль). Средняя температура воздуха - 28 °C.</p><p><br></p><h3>Что посмотреть в Таиланде?</h3><p>Горячие путевки в Таиланд позволят увидеть достопримечательности Таиланда – Королевский дворец в Бангкоке, реку Чао Прайя, дворец тайского короля в старой столице Аюттайя, храмы города Бангсен. Это и комплекс «Yannasangwararam», где на большой территории возведены буддистские храмы в китайском, ланкийском. индийском и камбоджийском стиле. А в одном из горных храмов по преданию хранится отпечаток стопы самого Будды.</p><p><br></p><h3>Кухня</h3><p>Тайская кухня – это супы, морепродукты, мясо, десерты и фрукты. Типичный тайский обед – суп, дыня, фаршированная свининой, мидии в соусе карри, рыба с имбирем, пряный салат и разнообразные соусы. На десерт свежие фрукты: манго, дуриан, папайя, дыня. Популярны в Таиланде и закуски из перца, чеснока, сушеных креветок, лимонного сока, рыбного соуса и креветочной пасты. Но истинная еда для тайца – это рис или лапша: Пат Као (тайский рис) или Пат Тао (лапша с креветками).</p><p><br></p><h3>Развлечения</h3><p>Путевки в Таиланд, цены на которые весьма доступны, включают в себя и многочисленные развлечения. Прежде всего, это парки, такие как Лумпини и Чатучак, зоологический сад Кхао, парк Короля Рамы IX, \\\"Мэджик Лэнд\\\" в Лат Пхрао и Сафари Уорлд. Путевка в Таиланд все включено – это открытие дикой природы парка Кхао Яй с тиграми, слонами и медведями, Сам Рой Йот с птицами, водопадов Кху Кхут и морского парка Тарутао. Таиланд также известен своими заведениями: от «go-go» баров, клубов с эротическими шоу и других ночных заведений. Тур путевка в Таиланд – это еще и возможность попрактиковаться и в тайском боксе, расслабиться в массажном кабинете, поиграть в гольф, посмотреть на скачки и заняться дайвингом или пройтись под парусом.</p>",NULL,NULL,0,1,1
3,india,"Путёвки в Индию",NULL,"В переводе с хинди слово «namaste» означает «здравствуйте». Этот язык — отражение Индии, такой контрастной и экзотической страны. Многие путешественники возвращаются домой в шоке от бедности, но снова и снова покупают путевки в Индию, чтобы вдохнуть ее воздух и проникнуться духовностью этой страны на фоне великолепных пейзажей.","<h2>Индия</h2><p>В переводе с хинди слово «namaste» означает «здравствуйте». Этот язык — отражение Индии, такой контрастной и экзотической страны. Многие путешественники возвращаются домой в шоке от бедности, но снова и снова покупают путевки в Индию, чтобы вдохнуть ее воздух и проникнуться духовностью этой страны на фоне великолепных пейзажей. Пакистан — западный сосед Индии, на северо-востоке у нее границы с такими странами, как Китай, Бутан и Непал, а с востока — с Мьянмой и Бангладеш. Территории двух спорных штатов (Кашмира и Джамму) имеют границы с Афганистаном. У Индии есть и несколько морских границ: с Мальдивами, Шри-Ланкой и с Индонезией. Территория Индии составляет более трех миллионов квадратных километров, а численность населения уже более миллиарда. Основные религии — индуизм, буддизм и ислам.</p><p><br></p><h3>Зачем ехать в Индию</h3><p>Купив путевки в Индию, путешественники сначала приезжают в Нью-Дели. Столица Индии на первый взгляд покажется непостижимой из-за своей необъятности, но здесь, как нигде в стране, можно наблюдать поразительный контраст между современностью и тысячелетними мусульманскими и индуистскими традициями. Город Мумбаи - не только столица индийского кино, но и кладезь памятников викторианской эпохи, коммерческий и финансовый центр страны. Город на восточном побережье, Калькутта, постепенно отходит от своего имиджа «города трущоб» и становится одним из самых активных городов Индии. Что еще хотят увидеть путешественники, которые уже приобрели путевки в Индию? Гоа&nbsp;—&nbsp;«Жемчужина Востока», «туристический рай» и «рай для дауншифтеров». Природная красота и архитектурное великолепие церквей, храмов и старинных колониальных домов сделали Гоа фаворитом среди путешественников всего мира. Но Гоа — это больше, чем пляжи и океан. В нем есть душа, история, культура и самые красивые пейзажи, которые может предложить Индия.</p><p><br></p><h3>Когда ехать в Индию</h3><p>В Индии царствуют муссонный климат и три сезона. Первый сезон, когда сухо и холодно, длится с октября по март, другой, характеризующийся сухой и жаркой погодой&nbsp;—&nbsp;с апреля по июнь, а третий, влажный и жаркий сезон длится с июля по сентябрь. Индия велика, и климат, соответственно, различается. Когда в ноябре в Гоа начинается курортный сезон, в Гималаях выпадает снег. А в июле и августе, когда в южных частях Индии жарко и влажно, становится комфортно в горных районах. В южную и центральную части Индии хорошо ехать в июле, августе и сентябре, температура там +25-30 или в период с октября по март, когда сухо и прохладно. Очень некомфортно на юге и в центре с марта по июнь, когда температура повышается до +45.</p><p><br></p><h3>Что посмотреть в Индии</h3><p>Горящие путевки в Индию предоставят возможность путешественнику увидеть самые красивые памятники страны: воздушный мавзолей Тадж-Махал, эротические скульптуры храма Кхаджурахо или храм Бхубанешвар в Ориссе, минарет Кутб Минар и гробница Хумаюна в Нью-Дели. Сколько стоит путевка в Индию, не так важно для путешественника, если ему предоставляется возможность увидеть штат Раджастан – самый красочный регион Индии, в котором краски играют на традиционных одеждах местных жителей и на стенах древних цитаделей Джайпура и Джодхпура. Купить путевку в Индию&nbsp;—&nbsp;увидеть и Южную Индию, гигантский наконечник, погруженный в Индийский океан, влажное сердце страны. Индуистские храмы Тамил Наду и Карнатака, городские джунгли Мумбаи и Бангалора, окруженная пальмами Керала, дикая природа штата Андхра-Прадеш&nbsp;—&nbsp;здесь можно испытывать возбуждение и разочарование, радость и печаль одновременно.</p><p><br></p><h3>Кухня Индии</h3><p>В зависимости от религии, касты и региона, каждый индиец ест не так, как его сосед. В Индии два вида кухни – вегетарианская, которая делится на классическую и строгую вегетарианскую кухню. В последнем случае в пищу употребляются только овощи, иногда даже без лука или чеснока. Невегетарианская кухня более разнообразная, включает в себя баранину и курицу, рыбу и морепродукты. Мусульманская религия запрещает употребление свинины, а корова – священное животное, поэтому говядина тоже под запретом. Индийцы очень любят пряности и специи и щедро кладут их во все блюда, отчего некоторые европейцы едва ли не теряют сознание от букетов запахов и вкусов. Из напитков в Индии популярны чай и соки.</p><p><br></p><h3>Развлечения</h3><p>Кино, несомненно, является самым главным развлечением в Индии. Индийская киноиндустрия ежегодно выпускает около 800 художественных фильмов. Большая их часть производится в Бомбее, на студии под названием «Болливуд». Индийцы любят веселиться, а фестивалей и праздников больше чем официальных праздников страны. Почти каждый день в городах и маленьких деревнях проходят танцевальные, музыкальные и фольклорные представления, ярмарки и выставки. В Индии популярны и дайвинг, и полеты с гор на парапланах и дельтапланах, сплавы по горным рекам, каноэ, а также горный туризм по предгорьям Гималаев.</p>",NULL,NULL,0,0,1
4,turkey,"Путёвки в Турцию",NULL,"Многие наши соотечественники, когда приезжают в Турцию, часто не покидают пределы отелей. Эта страна у большинства ассоциируется только с многокилометровыми пляжами и отелями «все включено». А ведь Турция еще и настоящая историческая сокровищница: на ее земле оставили свои следы многие великие цивилизации мира","<h2>Турция</h2><p>Многие наши соотечественники, когда приезжают в Турцию, часто не покидают пределы отелей. Эта страна у большинства ассоциируется только с многокилометровыми пляжами и отелями «все включено». А ведь Турция еще и настоящая историческая сокровищница: на ее земле оставили свои следы многие великие цивилизации мира. Турция расположена на стыке Европы и Азии. Армения, Азербайджан, Грузия и Иран граничат с ней на востоке; южные соседи Турции – Сирия и Ирак, западные – Болгария и Греция. Берега страны омываются Средиземным, Черным, Мраморным и Эгейским морями. Территория Турции – 780 000 км ², население составляет 72,6 миллиона человек, из которых 35% проживают в сельской местности. Национальная религия – ислам.</p><p><br></p><h3>Зачем ехать в Турцию</h3><p>Тур путевки в Турцию – это еще и инопланетная красота Каппадокии,&nbsp;удивительное место Памуккале, тайны Немрут Дага и вечное молчание Арарата. Турция, прежде всего, это богатый Стамбул, некогда великий Константинополь. Одного его имени достаточно, чтобы вдохновить поэтов и писателей. Стамбул – это дворец Топкапы, «Голубая мечеть», Собор Святой Софии и многоголосый восточный базар. Почему-то многие наши сограждане обходят вниманием Анкару, где находится грандиозный мавзолей Ататюрка, памятник основателю современной Турции. В эти города часто приобретаются отдельные путевки. Отели в Турцию, а именно в Стамбул и Анкару, могут стоить недорого, и выбор разнообразен. Но часто туристов интересует именно отдых. Турция, путевки, предлагают множество вариантов приятного времяпровождения на пляже. И прежде всего, это Анталия. Все стремятся в это благословенное место: путевки в Анталию, «страну всех народов», дают возможность увидеть прекрасные пляжи и пышную растительность региона – чем так и притягательны Турция, Анталия. Путевки предлагают съездить и в Кемер. Разумеется, есть еще и Сиде и Белек, Мармарис и Бодрум, но россияне, по традиции, сложившейся еще в 90-е годы, выбирают Кемер. Путевки в Кемер Турция, где большой пляж расположен рядом с сосновым лесом у подножия горы, всегда на пике популярности. Приехать в Кемер – это оказаться в центре современного космополитического города, прокатиться на одной из трехсот яхт, стоящих у причала в порту города, попробовать свои силы в рафтинге, поездить по экскурсиям и сделать удачные покупки в магазинах.</p><p><br></p><h3>Когда ехать в Турцию</h3><p>На средиземноморском побережье Турции климат субтропический, лето жаркое и сухое, зимы – дождливые и теплые. Декабрь и февраль – холодные месяцы, днем всего +16. Жаркое время – с июня по сентябрь, от +30 до + 34 днем, а температура воды – +25-26 градусов.</p><p><br></p><h3>Что посмотреть в Турции?</h3><p>В Турции надо увидеть Каппадокию, чьи пейзажи создавал великий скульптор – природа. Долина Гереме, ее скальные святилища и подземные города, до сих пор остаются традиционной средой обитания человека. В Эфесе и Трое путешественники окажутся в римском прошлом Турции, в Фазелисе – в греческом порту, в Пергаме ступят на камни некогда одного из самых красивых античных городов, увидят развалины амфитеатров Перге и Аспендоса, священный город Конья и место Демре, родину Святого Николая.</p><p><br></p><h3>Кухня Турции</h3><p>Турецкая кухня разнообразна: мясо, супы и знаменитые закуски «мезе» можно отведать везде и всегда. Турки уважают такие блюда, как шашлыки и кебабы из баранины, фаршированные овощи, виноградные листья, фаршированные жареными мидиями с чесноком, пряное куриное филе. В этой стране остаться голодным невозможно. И еще в Турции отличные рыба и морепродукты – ведь в стране четыре моря!</p><p><br></p><h3>Интересное</h3><p>Турция – это дайвинг, знакомство с подводным миром морей, многообразием кораллов и рыб, скрытыми под водой развалинами античных городов. Детям нравится дельфинарий, где после выступления они встречаются с «артистами» и плавают с ними в бассейне. Популярны в Турции и джип-сафари, когда туристы знакомятся не только с природой Турции, но и с традициями турецких деревень. Впечатляют и водопады - летящие с большой высоты тонны воды и богатая экзотическая растительность. В Турции надо посетить и турецкую баню – «хамам», которая является неотъемлемой частью турецкой культуры.</p>",,,1,1,1
5,tunisia,"Путёвки в Тунис",NULL,"Эта маленькая страна в Северной Африке привлекает путешественников своей историей и гостеприимством жителей. После «жасминовой» революции 2011 года, в новом Тунисе стали доступны для туристов его пляжи и сказочные места археологических раскопок. Путевка в Тунис предлагает проехать от побережья до пустынь через глубокие долины и увидеть все невероятные богатства страны","<h2>Тунис</h2><p>Эта маленькая страна в Северной Африке привлекает путешественников своей историей и гостеприимством жителей. После «жасминовой» революции 2011 года, в новом Тунисе стали доступны для туристов его пляжи и сказочные места археологических раскопок. Путевка в Тунис предлагает проехать от побережья до пустынь через глубокие долины и увидеть все невероятные богатства страны. Тунис граничит с Алжиром и Ливией, около трети его территории занимают отроги гор Атлас, часть страны покрыта саваннами, но в основном, в Тунисе царствует пустыня. Средиземное море омывает Тунис с севера и востока. Площадь страны 164,1 тыс.кв. км, численность населения – около 11 миллионов человек, 98% которого исповедует ислам.</p><p><br></p><h3>Зачем ехать в Тунис</h3><p>Города Туниса: шумный Набель, где по утрам можно отдыхать на пляже, а днем и вечером ходить по его ремесленным лавочкам и базарам. Хаммамет избавит путешественника от утомительной жары других тунисских городов и окунет в море цветочных ароматов. Если кому-то нравится смотреть на один из самых красивых пляжей в Тунисе, то ему надо ехать в город Махдия, где прозрачное море играет всеми оттенками синего. Монастир проведет туристов по его мечетям и музеям, старинному порту и по множеству магазинов. Город Сусс - «жемчужина Сахель», с его прогулками по Медине, древним крепостям и кузнечным мастерским – идеальное место для начала путешествий по Тунису. Как нос корабля, Тунис вдается в Средиземное море, а его ухоженные пляжи простираются до северной оконечности Африки. Вдоль его берегов, от Джербы до Табарки, где раньше были старые рыбацкие деревни, уже давно выстроились модные курорты и огромные развлекательные комплексы. Отдых в Тунисе – это роскошные пятизвездочные отели, апартаменты и клубы, которые позволят каждому найти что-то свое, будь то любитель пляжа, поклонник водных видов спорта или фитнеса.</p><p><br></p><h3>Когда ехать в Тунис</h3><p>Погода в Тунисе, разумеется, зависит от времени года, но в целом, Тунис считается «теплой» страной. На его климат оказывают влияние море и пустыня. Летом температура колеблется в пределах от +22 до +32, а зимой – от +5 +12 . В Тунисе климат Средиземноморья, с жарким и сухим летом и прохладной влажной зимой. Ветры с севера приносят осенью и зимой дожди, а в Сахеле они ослабляют летнюю жару. Когда начинают дуть ветры из Сахары, жара устанавливается по всей стране. Самый коварный – ветер «сирокко». Когда приходит его время, температура повышается до +53 и тогда гибнут посевы и плоды фруктовых деревьев.</p><p><br></p><h3>Что посмотреть в Тунисе?</h3><p>Купив горящие путевки в Тунис, путешественник увидит Сахару. Днем ее цвета – охра и золото, а вечерами они сменяются оранжево-розовыми и пустыня превращается в настоящую королеву. За горизонт медленно опускается огромный светящийся шар солнца, кажется, что в ожидании сумерек Сахара медленно всасывается небом. Приходит ночь, и оживают призраки прошлого. История Туниса насчитывает три тысячи лет. Наследник Карфагена, стоящий на перекрестке всех цивилизаций Средиземноморья, Тунис предлагает путешественнику Тофет и город циклопов Дуггу с капитолием, термами и театром. А также музеи Джербы и Удны, Колизей Эль Джема и дворцы Сиди-бу-Саида. Здесь на каждом камне отпечатались следы великих полководцев, выигравших немало битв, и многих поколений бедуинов, водивших через пустыню караваны с солью.</p><p><br></p><h3>Кухня Туниса</h3><p>Как и во всех средиземноморских странах, в тунисской кухне широко используется оливковое масло, специи и помидоры, баранина и курица, а также рыба. Она черпает вдохновение из берберских, арабских, турецких и итальянских источников. Национальные блюда Туниса – «кускус» и «мелукхия». Для «мелукхии» тушеное мясо готовится в течение нескольких часов. Для того, чтобы блюдо удалось, его нужно готовить только на углях, а для приготовления специй используются ступка и пестик из меди. Тунисцы любят и фисташки, жареный соленый миндаль, хурму, зеленые и черные оливки, салаты. Тунисская выпечка часто содержит мед и сухофрукты: финики, миндаль, фундук. Картина была бы неполной без знаменитого мятного чая и мавританского кофе, с несколькими каплями апельсинового сока.</p><p><br></p><h3>Развлечения</h3><p>Путевка в Тунис – знакомство с его известными спа-салонами, где издревле проводились и по сей день проводятся сеансы талассотерапии. Это самый популярный вид отдых среди туристов. Многие считают Средиземное море у берегов Туниса хорошим местом для дайвинга: под водой видно не только разноцветные рифы, скалы и каньоны, но и затонувшие корабли. Как ни странно, но в Тунисе можно и поохотиться, правда, для этого нужно получить лицензию. Страна стала активно развивать и гольф, а в пустыне появились неплохие зеленые поля для поклонников этой игры. Детям, а заодно и взрослым, может быть интересен и арабский «Диснейленд», под названием музей Шахерезады «1001 ночь».</p>",NULL,NULL,1,1,1
6,greece,"Путёвки в Грецию",NULL,"Западный мир обязан Греции многим: в этой стране родились современная демократия и философия, основные принципы многих наук, театр и Олимпийские игры. Даже Древний Рим признавал первенство Греции и считал за честь принять у себя греческих архитекторов и философов. Путевки в Грецию откроют путешественникам эту страну, как волшебную книгу","<h2>Греция</h2><p>Западный мир обязан Греции многим: в этой стране родились современная демократия и философия, основные принципы многих наук, театр и Олимпийские игры. Даже Древний Рим признавал первенство Греции и считал за честь принять у себя греческих архитекторов и философов. Путевки в Грецию откроют путешественникам эту страну, как волшебную книгу, перелистывать которую захочется снова и снова. Греция находится на Балканском полуострове и на многочисленных островах. С востока она омывается двумя морями, Эгейским и Фракийским, на западе Ионическим, а на юге — Критским и Средиземным морями. Ее сухопутные соседи — Албания, Македония, Болгария и Турция. Территория Греции — 131 957 км², население — более 11,3 миллионов человек. Основная религия православие.</p><p><br></p><h3>Зачем ехать в Грецию</h3><p>Купив горящие путевки в Грецию, туристы поймут, что значит душа греческого города. В них надо просто неспешно гулять по их улицам, а не стараться посмотреть одновременно все их памятники и достопримечательности. Афины и Салоники, Патры и Ираклион, Пирей и Коринф — и у каждого свой характер и цвет. Пусть они находятся совсем рядом, но обладают присущими только им свойствами и качествами. Купить путевку в Грецию означает поехать на один из ее островов. В Греции шесть тысяч островов, не хватит и всей жизни, чтобы ступить на каждый из них. Когда говорят о греческих островах, вспоминают о Родосе. Туристы, покупающие путевки в Грецию, Родос, восхищаются средневековыми крепостями, многокилометровыми пляжами, заливами и бухтами, дюнами, пещерами и скалами. Есть и еще один остров, настоящее сокровище, которым обладает Греция: Крит. Путевки на этот остров, где некогда была основана минойская цивилизация, позволят увидеть Кносский дворец, квинтэссенцию человеческой мысли. Этот волшебный остров сочетает в себе историю и традиции, культуру и природу. Крит с щедростью предлагает все свои богатства путешественникам.</p><p><br></p><h3>Когда ехать в Грецию</h3><p>Погода в Греции зависит от региона. Зимой, к примеру, на Пелопоннесе +10, а в Салониках ниже нуля. Весна довольно прохладна, в начале мая +17/+19ºС. Температура в начале лета +23/+25ºС. С конца июня по август стоит жара, порой достигающая отметки в 35-40ºС, и даже выше. Море прогревается до +24/+25ºС, но вечерами дует освежающий бриз. В сентябре октябре температура около +25/+27ºС, и постепенно снижается, начинаются дожди.</p><p><br></p><h3>Что посмотреть в Греции</h3><p>Боги Олимпа, кажется, до сих пор охраняют Грецию: Дионис выращивает виноград, Эол надувает паруса яхт, Аполлон приглашает на театральные представления, а Зевс и Афина ждут путешественника в храмах, чтобы дать ему защиту и мудрость. Акрополь и Парфенон, лабиринт Минотавра, старинные замки и венецианские крепости Корфу, музеи Спарты, Микен и Аргоса на Пелопоннесе, Триумфальная арка императора Галериуса и археологический музей в Салониках, монастыри Метеоры — каждый регион Греции наполнит ощущением чуда.</p><p><br></p><h3>Кухня Греции</h3><p>У греческой кухни четыре секрета: простота, хорошее качество свежих продуктов, правильное использование трав и специй и оливковое масло. Разнообразные закуски, «мусака», «сувлаки», салаты «кунупиди» и «пандзари» — греческая кухня может полностью удовлетворить как вегетарианцев, так и любителей мяса. Как приятно выпить бокал вина и съесть жареного осьминога, сидя в небольшой таверне на берегу моря! Но повторить это у себя дома никому не удастся — греческие блюда нельзя скопировать, пробовать их и наслаждаться ими можно только в Греции.</p><p><br></p><h3>Развлечения</h3><p>Путевка в Грецию: цена включает не только отдых на пляже и экскурсии. В Греции пропагандируется активный отдых, поэтому здесь принято заниматься спортом, осваивать дайвинг, виндсерфинг, кайтсерфинг, отправляться в морские прогулки на яхтах, каноэ, катамаранах. Греческие острова славятся своими аквапарками и гольф-клубами. По вечерам в городах открывают свои двери дискотеки и ночные клубы. Стоимость путевки в Грецию часто включает в себя и шоп-туры, ведь в Греции производят качественные изделия из кожи и меха. Эта страна известна еще с древних времен своей керамикой, которую сейчас можно приобрести в любой сувенирной лавочке или гончарной мастерской.</p>",NULL,NULL,1,0,1
