100,"ABOU DABBAB",3,11,1,3.79,1,0,0,0,0,1,0
101,"AIDA BETTER LIFE RESORT (EX. AIDA HOTEL SHARM)",3,6,1,3.03,0,1,0,0,0,0,0
102,"AKASSIA SWISS RESORT",5,11,1,4.29,0,1,1,0,0,1,0
103,"AL DIWAN RESORT",3,6,1,3.36,0,1,0,0,0,0,0
104,"ALMAS RED SEA PALACE (EX. GOLDEN 5 ALMAS RESORT)",5,5,1,3.88,1,0,1,0,0,1,0
105,"AL NABILA GRAND",5,5,1,4.09,0,1,1,0,0,1,0
106,"ALADDIN BEACH RESORT (EX. DESSOLE ALADDIN BEACH RESORT)",4,5,1,4.01,1,0,1,0,0,1,0
107,"BEACH ALBATROS RESORT MARSA ALAM",4,11,1,3.69,0,1,1,0,0,1,0
108,"PICKALBATROS SEA WORLD (EX. ALBATROS AQUA BLUE RESORT)",4,5,1,4.46,1,1,1,0,0,0,0
109,"ALBATROS AQUA VISTA RESORT & SPA",4,5,1,4.54,1,1,1,1,0,0,0
110,"JUNGLE AQUA PARK",4,5,1,4.67,1,0,1,0,0,0,0
111,"ALBATROS PALACE RESORT",5,5,1,4.56,1,1,1,1,0,1,1
112,PRINCE,2,18,3,3.11,0,0,0,0,1,0,0
113,"ALF LEILA WA LEILA",4,5,1,4.65,1,1,1,0,0,0,0
114,"ALI BABA PALACE",4,5,1,4.14,1,0,1,0,0,1,0
116,"AMAR EL ZAMAN",4,6,1,4,0,1,0,0,0,0,0
117,"AMR SINAI (EX. AMAR SINA)",3,6,1,3.58,1,0,1,0,0,0,0
118,"AMARANTE GARDEN PALMS",4,6,1,3.71,1,0,1,0,1,0,0
119,"AMBASSADOR CLUB",3,5,1,3.27,1,0,0,0,1,0,0
120,"FORTUNE SELECT REGINA",4,18,3,4.7,0,0,0,1,1,0,0
121,"AMIRA HOTEL",3,13,1,3.88,1,0,0,0,1,0,0
122,"KRISH HOLIDAY INN",2,18,3,2.56,0,0,0,0,1,0,0
123,"LUCKY STAR BEACH RESORT",3,16,3,3.53,0,1,0,0,1,0,0
124,"AMWAJ OYOUN RESORT & SPA (EX. AA AMWAJ HOTEL & RESORT)",5,6,1,3.94,0,1,1,0,0,1,0
125,"ALBATROS AQUA PARK RESORT (EX. AQUA BLUE RESORT, BORA BORA)",4,6,1,4.57,1,0,1,0,0,0,0
126,"AQUA FUN",3,5,1,3.51,0,1,0,0,1,1,0
127,"ARABELLA AZUR",4,5,1,4.53,0,1,0,0,0,1,0
128,"ARABIA AZUR",4,5,1,4.46,0,1,1,0,0,1,0
129,"ARENA INN",3,15,1,4.57,0,1,0,0,1,0,0
